exp_id,residuals,dir1,dir2,log(loss),accuracy
0,FALSE,-1.020408163,-1.020408163,2.276693748,11.40%
0,FALSE,-1.020408163,-0.9387755102,2.157685365,11.40%
0,FALSE,-1.020408163,-0.8571428571,2.006726256,11.40%
0,FALSE,-1.020408163,-0.7755102041,1.867705757,11.40%
0,FALSE,-1.020408163,-0.693877551,1.787054687,11.40%
0,FALSE,-1.020408163,-0.612244898,1.690052036,11.40%
0,FALSE,-1.020408163,-0.5306122449,1.504571682,11.40%
0,FALSE,-1.020408163,-0.4489795918,1.368834802,11.40%
0,FALSE,-1.020408163,-0.3673469388,1.164815762,11.40%
0,FALSE,-1.020408163,-0.2857142857,0.9664659838,11.40%
0,FALSE,-1.020408163,-0.2040816327,0.9965762527,11.40%
0,FALSE,-1.020408163,-0.1224489796,1.005137275,11.40%
0,FALSE,-1.020408163,-0.04081632653,0.9440943842,11.40%
0,FALSE,-1.020408163,0.04081632653,0.9606499618,11.40%
0,FALSE,-1.020408163,0.1224489796,1.101928755,11.40%
0,FALSE,-1.020408163,0.2040816327,1.05424209,11.40%
0,FALSE,-1.020408163,0.2857142857,1.12620281,11.40%
0,FALSE,-1.020408163,0.3673469388,1.216610467,11.40%
0,FALSE,-1.020408163,0.4489795918,1.244024783,11.40%
0,FALSE,-1.020408163,0.5306122449,1.294640601,11.40%
0,FALSE,-1.020408163,0.612244898,1.283624295,11.40%
0,FALSE,-1.020408163,0.693877551,1.269396497,11.40%
0,FALSE,-1.020408163,0.7755102041,1.246259395,11.40%
0,FALSE,-1.020408163,0.8571428571,1.424522367,11.40%
0,FALSE,-1.020408163,0.9387755102,1.587877604,11.40%
0,FALSE,-1.020408163,1.020408163,1.656030308,11.40%
0,FALSE,-0.9387755102,-1.020408163,2.122483983,11.40%
0,FALSE,-0.9387755102,-0.9387755102,2.003630607,11.40%
0,FALSE,-0.9387755102,-0.8571428571,1.802053447,11.40%
0,FALSE,-0.9387755102,-0.7755102041,1.739460682,11.40%
0,FALSE,-0.9387755102,-0.693877551,1.638120118,11.40%
0,FALSE,-0.9387755102,-0.612244898,1.546660019,11.40%
0,FALSE,-0.9387755102,-0.5306122449,1.435048534,11.40%
0,FALSE,-0.9387755102,-0.4489795918,1.32291317,11.40%
0,FALSE,-0.9387755102,-0.3673469388,1.101450484,11.40%
0,FALSE,-0.9387755102,-0.2857142857,0.9093790287,11.40%
0,FALSE,-0.9387755102,-0.2040816327,0.9700092685,11.40%
0,FALSE,-0.9387755102,-0.1224489796,1.072651982,11.40%
0,FALSE,-0.9387755102,-0.04081632653,0.9847372733,11.40%
0,FALSE,-0.9387755102,0.04081632653,0.8402806524,11.40%
0,FALSE,-0.9387755102,0.1224489796,1.047773332,11.40%
0,FALSE,-0.9387755102,0.2040816327,1.049372551,11.40%
0,FALSE,-0.9387755102,0.2857142857,1.096398536,11.40%
0,FALSE,-0.9387755102,0.3673469388,1.142330503,11.40%
0,FALSE,-0.9387755102,0.4489795918,1.14137291,11.40%
0,FALSE,-0.9387755102,0.5306122449,1.269803333,11.40%
0,FALSE,-0.9387755102,0.612244898,1.306949975,11.40%
0,FALSE,-0.9387755102,0.693877551,1.231331854,11.40%
0,FALSE,-0.9387755102,0.7755102041,1.292430451,11.40%
0,FALSE,-0.9387755102,0.8571428571,1.420112602,11.40%
0,FALSE,-0.9387755102,0.9387755102,1.540377271,11.40%
0,FALSE,-0.9387755102,1.020408163,1.630967273,11.40%
0,FALSE,-0.8571428571,-1.020408163,1.891739506,11.40%
0,FALSE,-0.8571428571,-0.9387755102,1.708917148,11.40%
0,FALSE,-0.8571428571,-0.8571428571,1.567693534,11.40%
0,FALSE,-0.8571428571,-0.7755102041,1.514612768,11.40%
0,FALSE,-0.8571428571,-0.693877551,1.42422672,11.40%
0,FALSE,-0.8571428571,-0.612244898,1.355518248,11.40%
0,FALSE,-0.8571428571,-0.5306122449,1.246806197,11.40%
0,FALSE,-0.8571428571,-0.4489795918,1.138101137,11.40%
0,FALSE,-0.8571428571,-0.3673469388,0.9920804518,11.40%
0,FALSE,-0.8571428571,-0.2857142857,1.003273026,11.40%
0,FALSE,-0.8571428571,-0.2040816327,1.020586011,11.40%
0,FALSE,-0.8571428571,-0.1224489796,1.017635412,11.40%
0,FALSE,-0.8571428571,-0.04081632653,0.997445115,11.40%
0,FALSE,-0.8571428571,0.04081632653,0.750296834,11.40%
0,FALSE,-0.8571428571,0.1224489796,0.6914314044,11.40%
0,FALSE,-0.8571428571,0.2040816327,0.9750655082,11.40%
0,FALSE,-0.8571428571,0.2857142857,1.000460416,11.40%
0,FALSE,-0.8571428571,0.3673469388,0.9612622724,11.40%
0,FALSE,-0.8571428571,0.4489795918,0.9885135819,11.40%
0,FALSE,-0.8571428571,0.5306122449,1.157733948,11.40%
0,FALSE,-0.8571428571,0.612244898,1.270079117,11.40%
0,FALSE,-0.8571428571,0.693877551,1.150989657,11.40%
0,FALSE,-0.8571428571,0.7755102041,1.244711806,11.40%
0,FALSE,-0.8571428571,0.8571428571,1.360728261,11.40%
0,FALSE,-0.8571428571,0.9387755102,1.473279952,11.40%
0,FALSE,-0.8571428571,1.020408163,1.57510278,11.40%
0,FALSE,-0.7755102041,-1.020408163,1.656710922,11.40%
0,FALSE,-0.7755102041,-0.9387755102,1.475227726,11.40%
0,FALSE,-0.7755102041,-0.8571428571,1.499504319,11.40%
0,FALSE,-0.7755102041,-0.7755102041,1.440250453,11.40%
0,FALSE,-0.7755102041,-0.693877551,1.300369404,11.40%
0,FALSE,-0.7755102041,-0.612244898,1.170788666,11.40%
0,FALSE,-0.7755102041,-0.5306122449,1.099514259,11.40%
0,FALSE,-0.7755102041,-0.4489795918,1.156387374,11.40%
0,FALSE,-0.7755102041,-0.3673469388,1.051538495,11.40%
