id,model,test examples,x,y,z
0,Tiny CNN,100,-1,-1,123.862754821777
0,Tiny CNN,100,-0.959183673469388,-1,120.291221618652
0,Tiny CNN,100,-0.918367346938775,-1,116.955352783203
0,Tiny CNN,100,-0.877551020408163,-1,113.866607666016
0,Tiny CNN,100,-0.836734693877551,-1,111.052558898926
0,Tiny CNN,100,-0.795918367346939,-1,108.513732910156
0,Tiny CNN,100,-0.755102040816326,-1,106.247741699219
0,Tiny CNN,100,-0.714285714285714,-1,104.224159240723
0,Tiny CNN,100,-0.673469387755102,-1,102.436325073242
0,Tiny CNN,100,-0.63265306122449,-1,100.87671661377
0,Tiny CNN,100,-0.591836734693878,-1,99.5349884033203
0,Tiny CNN,100,-0.551020408163265,-1,98.3872833251953
0,Tiny CNN,100,-0.510204081632653,-1,97.4364852905273
0,Tiny CNN,100,-0.469387755102041,-1,96.679443359375
0,Tiny CNN,100,-0.428571428571429,-1,96.0978927612305
0,Tiny CNN,100,-0.387755102040816,-1,95.6773147583008
0,Tiny CNN,100,-0.346938775510204,-1,95.398567199707
0,Tiny CNN,100,-0.306122448979592,-1,95.2653884887695
0,Tiny CNN,100,-0.26530612244898,-1,95.2579956054688
0,Tiny CNN,100,-0.224489795918367,-1,95.3462829589844
0,Tiny CNN,100,-0.183673469387755,-1,95.4936294555664
0,Tiny CNN,100,-0.142857142857143,-1,95.7134475708008
0,Tiny CNN,100,-0.102040816326531,-1,96.0142593383789
0,Tiny CNN,100,-0.061224489795919,-1,96.3994064331055
0,Tiny CNN,100,-0.020408163265306,-1,96.9213638305664
0,Tiny CNN,100,0.020408163265306,-1,97.618537902832
0,Tiny CNN,100,0.061224489795918,-1,98.5232849121094
0,Tiny CNN,100,0.102040816326531,-1,99.62841796875
0,Tiny CNN,100,0.142857142857143,-1,100.856590270996
0,Tiny CNN,100,0.183673469387755,-1,102.051399230957
0,Tiny CNN,100,0.224489795918367,-1,103.254005432129
0,Tiny CNN,100,0.265306122448979,-1,104.499855041504
0,Tiny CNN,100,0.306122448979592,-1,105.814186096191
0,Tiny CNN,100,0.346938775510204,-1,107.194648742676
0,Tiny CNN,100,0.387755102040816,-1,108.629264831543
0,Tiny CNN,100,0.428571428571428,-1,110.099266052246
